index,time,rmse,r2,mae,lat,lon,TREFMXAV_U,y_pred,member,year,feature,model
3,4,0.8730664253234863,0.9910401959264762,0.6232643723487854,23.864455680794578,131.38331360471076,295.45615,295.45001220703125,17.999929685615516,2006_2015,CAM_surf_loc,xgboost_old
4,5,0.8124662637710571,0.9878738200921584,0.5819097757339478,23.86554987161178,131.3837758598727,298.1175,298.0971984863281,17.99967328809741,2006_2015,CAM_surf_loc,xgboost_old
5,6,0.7470059394836426,0.9877692468572712,0.5355760455131531,23.865744573617672,131.38372930523704,300.02936,300.06048583984375,18.00015195874801,2006_2015,CAM_surf_loc,xgboost_old
6,7,0.6959335803985596,0.9889631177845812,0.49750223755836487,23.86559690821293,131.38393198697676,301.08163,301.1233825683594,17.999607952660995,2006_2015,CAM_surf_loc,xgboost_old
7,8,0.6943934559822083,0.9881807923301736,0.4948665499687195,23.864304278428968,131.3922270179964,300.7833,300.7897033691406,17.999811094096916,2006_2015,CAM_surf_loc,xgboost_old
8,9,0.7406761050224304,0.9876089193050426,0.5252900123596191,23.86499427675829,131.38385555194708,298.6372,298.6315612792969,17.999982934973982,2006_2015,CAM_surf_loc,xgboost_old
9,10,0.7864365577697754,0.9912023782405878,0.5582705140113831,23.864419571714787,131.38863995133747,295.40173,295.3891296386719,18.000163225326634,2006_2015,CAM_surf_loc,xgboost_old
10,11,0.843609631061554,0.9936497943110969,0.5880959033966064,23.863986598906358,131.38583264395854,291.7552,291.7650451660156,18.000258809989262,2006_2015,CAM_surf_loc,xgboost_old
11,12,0.9690314531326294,0.9942615741307627,0.632238507270813,23.864371698393136,131.38675850868262,288.50873,288.52911376953125,18.000548601901766,2006_2015,CAM_surf_loc,xgboost_old
0,1,1.430408000946045,0.9881890221189182,1.0222476720809937,23.86446665115366,131.38892353763788,290.39853,290.47222900390625,17.999631747154226,2061_2070,CAM,xgboost_old
1,2,1.4712246656417847,0.9865784547296054,1.0750411748886108,23.865337528381534,131.38557059136886,291.90912,292.0182189941406,17.9995421170927,2061_2070,CAM,xgboost_old
2,3,1.483674168586731,0.9822193868403201,1.099393367767334,23.864799395891325,131.3867322313723,294.97955,295.049072265625,17.99998465041688,2061_2070,CAM,xgboost_old
3,4,1.4417662620544434,0.974527991322855,1.0748038291931152,23.865404963440692,131.3845748164375,298.28503,298.3451232910156,18.000252539015687,2061_2070,CAM,xgboost_old
4,5,1.363065481185913,0.9657413414390869,1.0202772617340088,23.864501127164917,131.38542408671734,301.0696,301.0694580078125,17.99993881470627,2061_2070,CAM,xgboost_old
5,6,1.2889106273651123,0.9655449925427247,0.9589453339576721,23.865231537639378,131.37796308677238,303.10886,303.13067626953125,18.00000889590092,2061_2070,CAM,xgboost_old
6,7,1.3016321659088135,0.9650311413694495,0.9501771926879883,23.86685077561385,131.37823100227084,304.29996,304.24395751953125,18.000134278379573,2061_2070,CAM,xgboost_old
7,8,1.3859198093414307,0.9566000103352651,1.0007919073104858,23.864293905383438,131.3879061763918,304.04736,303.9331970214844,18.00010156054273,2061_2070,CAM,xgboost_old
8,9,1.4322019815444946,0.9526410942598386,1.0360133647918701,23.865265918822317,131.38317252449212,301.77435,301.6766662597656,18.0003450226233,2061_2070,CAM,xgboost_old
9,10,1.3922725915908813,0.9707684639818612,1.0154175758361816,23.865466697557512,131.38001955421123,298.3874,298.3211975097656,17.99992700757009,2061_2070,CAM,xgboost_old
10,11,1.3247050046920776,0.9832174131837649,0.973534345626831,23.864675855552175,131.38701747927504,294.6161,294.601806640625,18.000146616392605,2061_2070,CAM,xgboost_old
